Region_splitted;Variable_NeW;Sector_OMNIA;Share
UK;DFINENPHEAT;INM;0.0
UK;DFINENPIW;INM;0.0
UK;DFINENPLBF;INM;0.0
UK;DFINENPMW;INM;0.7856791999477344
UK;DFINENPOIL;INM;0.7023296408444437
UK;DFINENPSBM;INM;0.952296820166549
UK;DFINENPSOLT;INM;0.0
UK;DFINENPBG;IOI;0.930240674201857
UK;DFINENPCOMB;IOI;0.99689782518538
UK;DFINENPELEC;IOI;0.7475520015245958
UK;DFINENPGAS;IOI;0.8860792102739828
UK;DFINENPGEO;IOI;0.0
UK;DFINENPHEAT;IOI;0.7545553735737011
UK;DFINENPIW;IOI;0.3824514146581099
UK;DFINENPLBF;IOI;0.9288728621691833
UK;DFINENPMW;IOI;0.7681160037760631
UK;DFINENPOIL;IOI;0.8476899272045049
UK;DFINENPSBM;IOI;0.6843806505358753
UK;DFINENPSOLT;IOI;0.0
UK;DFINENPGAS;NAB;0.0
UK;DFINENPLBF;NAB;0.0
UK;DFINENPOIL;NAB;0.33791091222775727
UK;DFINENPGAS;NAD;0.0
UK;DFINENPLBF;NAD;0.0
UK;DFINENPOIL;NAD;0.4231619809092201
UK;DFINENPCOMB;OTH;1.0
UK;DFINENPELEC;OTH;0.0
UK;DFINENPGAS;OTH;0.9938081351684854
UK;DFINENPHEAT;OTH;0.0
UK;DFINENPLBF;OTH;0.0
UK;DFINENPOIL;OTH;0.6565392935242778
UK;DFINENPSBM;OTH;0.0
UK;DFINENPSOLT;OTH;0.0
UK;DFINENPBG;OTH OwnUses;0.0
UK;DFINENPCOMB;OTH OwnUses;1.0
UK;DFINENPELEC;OTH OwnUses;0.43046170526583966
UK;DFINENPGAS;OTH OwnUses;0.5325532865513384
UK;DFINENPHEAT;OTH OwnUses;1.0
UK;DFINENPIW;OTH OwnUses;0.0
UK;DFINENPLBF;OTH OwnUses;0.0
UK;DFINENPMW;OTH OwnUses;0.0
UK;DFINENPOIL;OTH OwnUses;0.794784958900532
UK;DFINENPSBM;OTH OwnUses;0.0
UK;DFINENPBG;OTH_TR;0.0
UK;DFINENPELEC;OTH_TR;0.0
UK;DFINENPGAS;OTH_TR;0.0
UK;DFINENPLBF;OTH_TR;0.0
UK;DFINENPOIL;OTH_TR;0.0
UK;DFINENPBG;PWR OwnUses;0.0
UK;DFINENPCOMB;PWR OwnUses;0.0
UK;DFINENPELEC;PWR OwnUses;0.6326497836373695
UK;DFINENPGAS;PWR OwnUses;0.0
UK;DFINENPHEAT;PWR OwnUses;0.0
UK;DFINENPLBF;PWR OwnUses;0.0
UK;DFINENPMW;PWR OwnUses;0.0
UK;DFINENPOIL;PWR OwnUses;0.0
UK;DFINENPSBM;PWR OwnUses;0.0
UK;DFINENPELEC;Pipeline;0.0
UK;DFINENPGAS;Pipeline;0.0
UK;DFINENPCOMB;RAI;1.0
UK;DFINENPELEC;RAI;0.5945555663704023
UK;DFINENPLBF;RAI;0.0
UK;DFINENPOIL;RAI;0.9607763905677426
UK;DFINENPBG;RES;0.0
UK;DFINENPCOMB;RES;0.9947243108341886
UK;DFINENPELEC;RES;0.6345742636133733
UK;DFINENPGAS;RES;0.951544522428566
UK;DFINENPGEO;RES;0.033268101761252444
UK;DFINENPHEAT;RES;0.26651591894476756
UK;DFINENPLBF;RES;0.0
UK;DFINENPOIL;RES;0.5900424746661425
UK;DFINENPSBM;RES;0.43988739295964874
UK;DFINENPSOLT;RES;0.3783101049579159
UK;DFINENPBG;ROA;0.4351983119580627
UK;DFINENPELEC;ROA;0.4633694851601266
UK;DFINENPGAS;ROA;0.6363984330867423
UK;DFINENPLBF;ROA;0.7268663862236913
