Region_NeW_cd;Variable_NeW_cd;Sector_NeW;Commodity_NeW_nm;Value_TJ;Share
WE;DFINENP;06;OIL;15298.166599999999;0.29695409861723854
WE;DFINENP;07;ELEC;32944.464;0.38807167403818127
WE;DFINENP;07;GAS;237514.50600000002;0.9675372776779428
WE;DFINENP;07;HEAT;1913.0;0.09836151719015337
WE;DFINENP;13;COMB;14817.335652;0.509557391820153
WE;DFINENP;13;ELEC;1522.296;0.01793199479893275
WE;DFINENP;13;HEAT;8239.0;0.42362809206987645
WE;DFINENP;14;ELEC;4495.2155999999995;0.05295171422593329
WE;DFINENP;14;GAS;7015.135;0.028576800359483116
WE;DFINENP;14;HEAT;4043.0;0.20788061369565608
WE;DFINENP;14;OIL;32768.364199999996;0.6360696878652367
WE;DFINENP;17;COMB;14188.54;0.4879335668663244
WE;DFINENP;17;ELEC;2930.7096;0.03452250370780865
WE;DFINENP;17;GAS;474.93;0.0019346712208288673
WE;DFINENP;17;HEAT;129.663;0.0066669364367103285
WE;DFINENP;17;OIL;3264.0046;0.06335788916532785
WE;DFINENP;38;ELEC;185.4;0.002183932583230943
WE;DFINENP;38;GAS;479.0;0.0019512507417451571
WE;DFINENP;38;HEAT;474.0;0.024371855278689337
WF;DFINENP;05;COMB;504.44842;0.00074968031790036
WF;DFINENP;05;ELEC;11820.456000000002;0.18086589078376394
WF;DFINENP;06;ELEC;3539.5704;0.05415929414126186
WF;DFINENP;06;OIL;51289.1863;0.32726629007313673
WF;DFINENP;07;ELEC;3539.5704;0.05415929414126186
WF;DFINENP;07;GAS;443393.311;0.6159943603629096
WF;DFINENP;13;COMB;902.13381;0.00134069596544571
WF;DFINENP;14;ELEC;31837.773600000004;0.4871527192128462
WF;DFINENP;14;GAS;36820.08;0.051153143417878855
WF;DFINENP;14;OIL;104451.3344;0.666483583933883
WF;DFINENP;17;ELEC;91.17;0.0013950006042707454
WF;DFINENP;17;GAS;9506.418;0.01320700996152928
WF;DFINENP;17;OIL;979.52;0.006250125992980296
WF;DFINENP;17;SBM;235.09527838;1.0
WF;DFINENP;38;COMB;671478.1233639999;0.9979096237166538
WF;DFINENP;38;ELEC;14526.27;0.22226780111659536
WF;DFINENP;38;GAS;230081.117;0.3196454862576823
WL;DFINENP;05;ELEC;30.780000000000005;0.0005548887156078514
WL;DFINENP;05;GAS;3816.258;0.005538360175103463
WL;DFINENP;06;ELEC;20069.676;0.3618075613484639
WL;DFINENP;06;OIL;60849.402;0.19971995016299948
WL;DFINENP;07;ELEC;20069.676;0.3618075613484639
WL;DFINENP;07;GAS;449917.0533;0.6529439807519886
WL;DFINENP;13;COMB;3748.4260000000004;0.15226420345157696
WL;DFINENP;14;ELEC;14700.664800000002;0.26501731674637924
