Reg_cd;Sec_cd;int_kstock;ratio_kstock
ES;51;0.87466814;12.46842878
ES;52;10.54696824;35.02034168
ES;53;1.425617964;7.73691034
ES;54;0.763676638;8.080831511
ES;55;0.763676638;8.080831511
ES;56;5.314775696;34.69837721
ES;57;1.350289138;12.34191141
ES;58;0.675159288;12.314007
ES;59;1.6694616;23.90273718
FR;01;1.293188464;10.08826707
FR;02;1.293188464;10.08826707
FR;03;1.293188464;10.08826707
FR;04;1.293188464;10.08826707
FR;05;3.191542605;14.53486575
FR;06;3.191542605;14.53486575
FR;07;3.191542605;14.53486575
FR;08;3.191542605;14.53486575
FR;09;0.267544992;6.66844953
FR;10;0.301551227;6.208715028
FR;11;0.474997633;8.003378061
FR;12;0.474997633;8.003378061
FR;13;0.147419907;7.012606193
FR;14;0.147419907;7.012606193
FR;15;0.505069613;6.013793103
FR;16;0.505069613;6.013793103
FR;17;0.618146008;5.957359789
FR;18;0.4727867;6.031489253
FR;19;0.4727867;6.031489253
FR;20;0.4727867;6.031489253
FR;21;0.4727867;6.031489253
FR;22;0.474210042;7.290123685
FR;23;0.474210042;7.290123685
FR;24;0.474210042;7.290123685
FR;25;0.474210042;7.290123685
FR;26;0.368654206;5.151456743
FR;27;1.397444329;3.809882206
FR;28;0.445682424;4.23642732
FR;29;1.397444329;3.809882206
FR;30;1.397444329;3.809882206
FR;31;0.481276906;5.004721774
FR;32;0.481276906;5.004721774
FR;33;0.31480371;4.799941283
FR;34;1.341501581;8.602159755
FR;35;1.195612078;7.896774862
FR;36;1.195612078;7.896774862
FR;37;1.195612078;7.896774862
FR;38;1.195612078;7.896774862
FR;39;1.195612078;7.896774862
FR;40;1.341501581;8.602159755
FR;41;0.169636856;5.916890925
FR;42;0.256540575;5.726354015
FR;43;0.385995278;6.498960308
FR;44;0.80405339;6.856102752
FR;45;0.80405339;6.856102752
FR;46;0.80405339;6.856102752
FR;47;0.80405339;6.856102752
FR;48;0.80405339;6.856102752
FR;49;0.80405339;6.856102752
FR;50;0.445128322;4.956667193
FR;51;0.445128322;4.956667193
FR;52;15.74214373;29.86716398
FR;53;0.596914;3.473469434
FR;54;1.510758674;5.408779894
FR;55;0.458595834;4.108949848
FR;56;3.354101409;18.10333242
FR;57;0.958866793;12.20596998
FR;58;0.535766507;9.323240601
FR;59;1.10110431;10.39138458
ID;01;1.147772593;12.32200192
ID;02;1.147772593;12.32200192
ID;03;1.142795017;12.34364253
ID;04;1.141119691;12.32631858
ID;05;2.228303044;9.562481385
ID;06;2.228303044;9.562481385
ID;07;2.228303044;9.562481385
ID;08;2.216231071;9.557547498
ID;09;0.549081205;14.14972596
ID;10;0.774545305;8.389115638
ID;11;0.788688518;8.118719366
ID;12;0.788529672;8.121182465
ID;13;0.509726941;15.57947783
ID;14;0.509726941;15.57947783
ID;15;0.786671374;12.13775475
ID;16;0.786671374;12.13775475
ID;17;1.09393127;22.86704266
ID;18;0.786260901;12.15064389
ID;19;0.721240491;43.42933212
ID;20;0.721240491;43.42933212
ID;21;0.721240491;43.42933212
ID;22;0.751096454;21.39015274
ID;23;0.751096454;21.39015274
ID;24;0.751096454;21.39015274
ID;25;0.520388005;13.93748988
ID;26;0.612033277;12.01611492
ID;27;0.930250302;27.85838378
ID;28;0.717418654;12.32226433
ID;29;0.930250302;27.85838378
ID;30;0.930250302;27.85838378
ID;31;0.635951741;15.47169936
ID;32;0.637620611;15.59874064
ID;33;0.803726354;8.107648618
ID;34;3.906329265;17.34009955
ID;35;3.934554249;34.78212484
ID;36;3.934554249;34.78212484
ID;37;3.934554249;34.78212484
ID;38;3.934554249;34.78212484
ID;39;3.934554249;34.78212484
ID;40;3.911207915;17.34636161
ID;41;0.256637499;7.660220568
ID;42;0.939125476;13.72320656
ID;43;1.158498512;14.7081989
ID;44;2.28676641;13.68841282
ID;45;2.28676641;13.68841282
ID;46;2.289707888;13.6925892
ID;47;2.289707888;13.6925892
ID;48;2.29020521;13.69244924
ID;49;2.292639884;13.69986454
ID;50;1.135059613;11.24898671
ID;51;1.136334637;11.26687736
ID;52;7.885983299;16.17455822
ID;53;1.522884178;10.13394171
ID;54;0.941326242;9.737834495
ID;55;0.936433068;9.696806728
ID;56;5.106202324;18.92835552
ID;57;1.597119888;12.21419251
ID;58;1.19188305;11.16995279
ID;59;1.323884064;12.24322616
IN;01;1.147772593;12.32200192
IN;02;1.147772593;12.32200192
IN;03;1.142795017;12.34364253
IN;04;1.141119691;12.32631858
IN;05;2.228303044;9.562481385
IN;06;2.228303044;9.562481385
IN;07;2.228303044;9.562481385
IN;08;2.216231071;9.557547498
IN;09;0.549081205;14.14972596
IN;10;0.774545305;8.389115638
IN;11;0.788688518;8.118719366
IN;12;0.788529672;8.121182465
IN;13;0.509726941;15.57947783
IN;14;0.509726941;15.57947783
IN;15;0.786671374;12.13775475
IN;16;0.786671374;12.13775475
IN;17;1.09393127;22.86704266
IN;18;0.786260901;12.15064389
IN;19;0.721240491;43.42933212
IN;20;0.721240491;43.42933212
IN;21;0.721240491;43.42933212
IN;22;0.751096454;21.39015274
IN;23;0.751096454;21.39015274
IN;24;0.751096454;21.39015274
IN;25;0.520388005;13.93748988
IN;26;0.612033277;12.01611492
IN;27;0.930250302;27.85838378
IN;28;0.717418654;12.32226433
IN;29;0.930250302;27.85838378
IN;30;0.930250302;27.85838378
IN;31;0.635951741;15.47169936
IN;32;0.637620611;15.59874064
IN;33;0.803726354;8.107648618
IN;34;3.906329265;17.34009955
IN;35;3.934554249;34.78212484
IN;36;3.934554249;34.78212484
IN;37;3.934554249;34.78212484
IN;38;3.934554249;34.78212484
IN;39;3.934554249;34.78212484
IN;40;3.911207915;17.34636161
IN;41;0.256637499;7.660220568
IN;42;0.939125476;13.72320656
IN;43;1.158498512;14.7081989
IN;44;2.28676641;13.68841282
IN;45;2.28676641;13.68841282
IN;46;2.289707888;13.6925892
IN;47;2.289707888;13.6925892
IN;48;2.29020521;13.69244924
IN;49;2.292639884;13.69986454
IN;50;1.135059613;11.24898671
IN;51;1.136334637;11.26687736
IN;52;7.885983299;16.17455822
IN;53;1.522884178;10.13394171
IN;54;0.941326242;9.737834495
IN;55;0.936433068;9.696806728
IN;56;5.106202324;18.92835552
IN;57;1.597119888;12.21419251
IN;58;1.19188305;11.16995279
IN;59;1.323884064;12.24322616
IT;01;2.598577124;17.46938087
IT;02;2.598577124;17.46938087
IT;03;2.598577124;17.46938087
IT;04;2.598577124;17.46938087
IT;05;4.038137391;14.17990378
IT;06;4.038137391;14.17990378
IT;07;4.038137391;14.17990378
IT;08;4.038137391;14.17990378
IT;09;0.417526394;7.65984134
IT;10;0.327618999;7.200387729
IT;11;0.54886943;7.436435125
IT;12;0.54886943;7.436435125
IT;13;0.678926259;15.98095066
IT;14;0.678926259;15.98095066
IT;15;0.608459968;8.978981853
IT;16;0.608459968;8.978981853
IT;17;0.611806889;7.81826634
IT;18;0.635471166;8.783332208
IT;19;0.635471166;8.783332208
IT;20;0.635471166;8.783332208
IT;21;0.635471166;8.783332208
IT;22;0.468291034;7.987537962
IT;23;0.468291034;7.987537962
IT;24;0.468291034;7.987537962
IT;25;0.468291034;7.987537962
IT;26;0.392948642;6.437259281
IT;27;0.865714103;5.945398875
IT;28;0.498417766;7.493360136
IT;29;0.865714103;5.945398875
IT;30;0.865714103;5.945398875
IT;31;0.64384575;5.768795432
IT;32;0.64384575;5.768795432
IT;33;0.450740193;9.036603798
IT;34;2.030901513;17.85178462
IT;35;2.461316416;22.27415552
IT;36;2.461316416;22.27415552
IT;37;2.461316416;22.27415552
IT;38;2.461316416;22.27415552
IT;39;2.461316416;22.27415552
IT;40;2.030901513;17.85178462
IT;41;0.313694881;8.770106373
IT;42;0.520533086;9.778515332
IT;43;0.863487673;23.19218218
IT;44;1.650804044;15.27802912
IT;45;1.650804044;15.27802912
IT;46;1.650804044;15.27802912
IT;47;1.650804044;15.27802912
IT;48;1.650804044;15.27802912
IT;49;1.650804044;15.27802912
IT;50;0.735161253;16.47694338
IT;51;0.735161253;16.47694338
IT;52;12.87756421;38.92049945
IT;53;0.855080312;5.479214926
IT;54;2.58297421;6.09705757
IT;55;0.594427084;7.064827933
IT;56;4.743773389;34.34870087
IT;57;0.471409537;23.51538679
IT;58;0.554543833;13.35180261
IT;59;0.518411023;11.24692352
JP;01;1.429209341;11.16024134
JP;02;1.429209341;11.16024134
JP;03;1.429209341;11.16024134
JP;04;1.429209341;11.16024134
JP;05;3.172171366;14.36206897
JP;06;3.172171366;14.36206897
JP;07;3.172171366;14.36206897
JP;08;3.172171366;14.36206897
JP;09;0.572729863;8.877192076
JP;10;0.86112339;7.698487796
JP;11;0.86112339;7.698487796
JP;12;0.86112339;7.698487796
JP;13;0.330520908;18.27782719
JP;14;0.330520908;18.27782719
JP;15;0.86112339;7.698487796
JP;16;0.86112339;7.698487796
JP;17;1.551240752;9.603196218
JP;18;0.86112339;7.698487796
JP;19;1.369932914;12.19510984
JP;20;1.369932914;12.19510984
JP;21;1.369932914;12.19510984
JP;22;0.664482295;11.80995986
JP;23;0.664482295;11.80995986
JP;24;0.664482295;11.80995986
JP;25;0.54663758;7.872868612
JP;26;0.842583892;6.441070539
JP;27;1.424438789;6.441345697
JP;28;1.104895105;5.435173748
JP;29;1.424438789;6.441345697
JP;30;1.424438789;6.441345697
JP;31;0.762006135;6.213998625
JP;32;0.762006135;6.213998625
JP;33;0.86112339;7.698487796
JP;34;6.504875017;28.8505332
JP;35;6.504875017;28.8505332
JP;36;6.504875017;28.8505332
JP;37;6.504875017;28.8505332
JP;38;6.504875017;28.8505332
JP;39;6.504875017;28.8505332
JP;40;6.504875017;28.8505332
JP;41;0.336717765;7.118570217
JP;42;0.621700381;7.664902683
JP;43;0.486205571;11.50329716
JP;44;3.099525897;17.56066959
JP;45;3.099525897;17.56066959
JP;46;3.099525897;17.56066959
JP;47;3.099525897;17.56066959
JP;48;3.099525897;17.56066959
JP;49;3.099525897;17.56066959
JP;50;0.282949724;3.964347703
JP;51;0.282949724;3.964347703
JP;52;5.921949114;17.3865758
JP;53;1.095809168;8.548643283
JP;54;0.611571524;5.280037097
JP;55;0.611571524;5.280037097
JP;56;11.58910544;33.83679724
JP;57;1.73845586;9.330706037
JP;58;0.625506639;7.629043784
JP;59;0.814543333;8.733014433
KR;01;1.115799731;13.24072862
KR;02;1.115799731;13.24072862
KR;03;1.115799731;13.24072862
KR;04;1.115799731;13.24072862
KR;05;0.838530546;12.06255411
KR;06;0.838530546;12.06255411
KR;07;0.838530546;12.06255411
KR;08;0.838530546;12.06255411
KR;09;0.445922559;NaN
KR;10;0.371409131;NaN
